排名,片名,简介,评分,电影链接
1,肖申克的救赎,希望让人自由。,9.7,https://movie.douban.com/subject/1292052/
2,霸王别姬,风华绝代。,9.6,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,9.4,https://movie.douban.com/subject/1295644/
4,阿甘正传,一部美国近现代史。,9.4,https://movie.douban.com/subject/1292720/
5,美丽人生,最美的谎言。,9.5,https://movie.douban.com/subject/1292063/
6,千与千寻,最好的宫崎骏，最好的久石让。 ,9.3,https://movie.douban.com/subject/1291561/
7,泰坦尼克号,失去的才是永恒的。 ,9.4,https://movie.douban.com/subject/1292722/
8,辛德勒的名单,拯救一个人，就是拯救整个世界。,9.5,https://movie.douban.com/subject/1295124/
9,盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,https://movie.douban.com/subject/3541415/
10,忠犬八公的故事,永远都不能忘记你所爱的人。,9.3,https://movie.douban.com/subject/3011091/
11,机器人总动员,小瓦力，大人生。,9.3,https://movie.douban.com/subject/2131459/
12,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.2,https://movie.douban.com/subject/3793023/
13,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.3,https://movie.douban.com/subject/1291549/
14,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,https://movie.douban.com/subject/1292001/
15,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.2,https://movie.douban.com/subject/1292064/
16,大话西游之大圣娶亲,一生所爱。,9.2,https://movie.douban.com/subject/1292213/
17,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.3,https://movie.douban.com/subject/1889243/
18,龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.2,https://movie.douban.com/subject/1291560/
19,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,https://movie.douban.com/subject/5912992/
20,教父,千万不要记恨你的对手，这样会让你失去理智。,9.3,https://movie.douban.com/subject/1291841/
21,无间道,香港电影史上永不过时的杰作。,9.2,https://movie.douban.com/subject/1307914/
22,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,https://movie.douban.com/subject/25662329/
23,当幸福来敲门,平民励志片。 ,9.1,https://movie.douban.com/subject/1849031/
24,怦然心动,真正的幸福是来自内心深处。,9.0,https://movie.douban.com/subject/3319755/
25,触不可及,满满温情的高雅喜剧。,9.2,https://movie.douban.com/subject/6786002/
26,蝙蝠侠：黑暗骑士,无尽的黑暗。,9.1,https://movie.douban.com/subject/1851857/
27,乱世佳人,Tomorrow is another day.,9.3,https://movie.douban.com/subject/1300267/
28,活着,张艺谋最好的电影。,9.2,https://movie.douban.com/subject/1292365/
29,控方证人,比利·怀德满分作品。,9.6,https://movie.douban.com/subject/1296141/
30,少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,9.0,https://movie.douban.com/subject/1929463/
31,指环王3：王者无敌,史诗的终章。,9.2,https://movie.douban.com/subject/1291552/
32,摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,https://movie.douban.com/subject/26387939/
33,天空之城,对天空的追逐，永不停止。 ,9.1,https://movie.douban.com/subject/1291583/
34,鬼子来了,对敌人的仁慈，就是对自己残忍。,9.2,https://movie.douban.com/subject/1291858/
35,十二怒汉,1957年的理想主义。 ,9.4,https://movie.douban.com/subject/1293182/
36,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,https://movie.douban.com/subject/1291828/
37,飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,9.0,https://movie.douban.com/subject/2129039/
38,大话西游之月光宝盒,旷古烁今。,9.0,https://movie.douban.com/subject/1299398/
39,哈尔的移动城堡,带着心爱的人在天空飞翔。,9.0,https://movie.douban.com/subject/1308807/
40,搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,https://movie.douban.com/subject/1292000/
41,罗马假日,爱情哪怕只有一天。,9.0,https://movie.douban.com/subject/1293839/
42,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,https://movie.douban.com/subject/1293172/
43,寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,9.0,https://movie.douban.com/subject/20495023/
44,闻香识女人,史上最美的探戈。,9.0,https://movie.douban.com/subject/1298624/
45,辩护人,电影的现实意义大过电影本身。,9.2,https://movie.douban.com/subject/21937445/
46,素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,https://movie.douban.com/subject/21937452/
47,窃听风暴,别样人生。,9.1,https://movie.douban.com/subject/1900841/
48,死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,https://movie.douban.com/subject/1291548/
49,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,https://movie.douban.com/subject/1293350/
50,飞越疯人院,自由万岁。,9.1,https://movie.douban.com/subject/1292224/
51,指环王2：双塔奇兵,承前启后的史诗篇章。,9.0,https://movie.douban.com/subject/1291572/
52,教父2,优雅的孤独。,9.2,https://movie.douban.com/subject/1299131/
53,指环王1：魔戒再现,传说的开始。,9.0,https://movie.douban.com/subject/1291571/
54,狮子王,动物版《哈姆雷特》。,9.0,https://movie.douban.com/subject/1301753/
55,V字仇杀队,一张面具背后的理想与革命。,8.9,https://movie.douban.com/subject/1309046/
56,美丽心灵,爱是一切逻辑和原由。,9.0,https://movie.douban.com/subject/1306029/
57,饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,https://movie.douban.com/subject/1291818/
